_id,RSS,Region,Nom_etablissement,Nom_installation,No_permis_installation,Nombre_de_civieres_fonctionnelles,Nombre_de_civieres_occupees,Nombre_de_patients_sur_civiere_plus_de_24_heures,Nombre_de_patients_sur_civiere_plus_de_48_heures,Nombre_total_de_patients_presents_a_lurgence,Nombre_total_de_patients_en_attente_de_PEC,DMS_sur_civiere,DMS_ambulatoire,DMS_sur_civiere_horaire,DMS_ambulatoire_horaire,Heure_de_l'extraction_(image),Mise_a_jour
1,01,Bas-Saint-Laurent,Total régional,Total régional,,52,49,5,1,89,39,9.78060606060606,3.97773993808049,9:46,3:58,00:00:00,2026-01-05T0:45
2,01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,CENTRE HOSPITALIER RÉGIONAL DU GRAND-PORTAGE,51218352,9,9,0,0,17,8,7.95,4.31,7:57,4:18,00:00:00,2026-01-05T0:45
3,01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,HÔPITAL DE MATANE,51218980,7,4,2,1,8,3,9.49,3.14,9:29,3:08,00:00:00,2026-01-05T0:45
4,01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,CLSC DE POHÉNÉGAMOOK,51219418,3,1,0,0,4,1,5.55,3.16,5:33,3:09,00:00:00,2026-01-05T0:45
5,01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,HÔPITAL NOTRE-DAME-DE-FATIMA,51221141,7,2,0,0,6,5,5.55,3.18,5:33,3:10,00:00:00,2026-01-05T0:45
6,01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,HÔPITAL DE NOTRE-DAME-DU-LAC,51221877,5,5,0,0,5,0,6.85,4.71,6:51,4:42,00:00:00,2026-01-05T0:45
7,01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,HÔPITAL D'AMQUI,51226892,6,5,2,0,16,11,12.33,5.99,12:19,5:59,00:00:00,2026-01-05T0:45
8,01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,HÔPITAL RÉGIONAL DE RIMOUSKI,51227882,12,19,1,0,29,11,12.78,4.97,12:46,4:58,00:00:00,2026-01-05T0:45
9,01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE TROIS-PISTOLES,51236156,3,4,0,0,4,0,9.83,1.48,9:49,1:28,00:00:00,2026-01-05T0:45
10,02,Saguenay-Lac-Saint-Jean,Total régional,Total régional,,104,55,8,0,105,44,11.2223841059602,4.35468421052631,11:13,4:21,00:00:00,2026-01-05T0:45
11,02,Saguenay-Lac-Saint-Jean,CIUSSS DU SAGUENAY - LAC-SAINT-JEAN,HÔPITAL DE CHICOUTIMI,51218394,41,31,6,0,53,14,12.04,5.08,12:02,5:04,00:00:00,2026-01-05T0:45
12,02,Saguenay-Lac-Saint-Jean,CIUSSS DU SAGUENAY - LAC-SAINT-JEAN,HÔPITAL DE DOLBEAU-MISTASSINI,51219384,10,3,1,0,6,0,8.87,3.32,8:52,3:19,00:00:00,2026-01-05T0:45
13,02,Saguenay-Lac-Saint-Jean,CIUSSS DU SAGUENAY - LAC-SAINT-JEAN,HÔPITAL D'ALMA,51219400,17,5,0,0,15,11,7.74,3.93,7:44,3:55,00:00:00,2026-01-05T0:45
14,02,Saguenay-Lac-Saint-Jean,CIUSSS DU SAGUENAY - LAC-SAINT-JEAN,HÔPITAL DE LA BAIE,51221364,7,0,0,0,0,0,8.94,3.37,8:56,3:22,00:00:00,2026-01-05T0:45
15,02,Saguenay-Lac-Saint-Jean,CIUSSS DU SAGUENAY - LAC-SAINT-JEAN,HÔPITAL ET CENTRE DE RÉADAPTATION DE JONQUIÈRE,51224541,16,11,1,0,19,10,14.47,5.59,14:28,5:35,00:00:00,2026-01-05T0:45
16,02,Saguenay-Lac-Saint-Jean,CIUSSS DU SAGUENAY - LAC-SAINT-JEAN,HÔPITAL ET CENTRE D'HÉBERGEMENT DE ROBERVAL,51228203,13,5,0,0,12,9,10.82,5.12,10:49,5:07,00:00:00,2026-01-05T0:45
17,03,Capitale-Nationale,Total régional,Total régional,,218,235,46,15,317,70,13.2555555555555,3.85855300859598,13:15,3:51,00:00:00,2026-01-05T0:45
18,03,Capitale-Nationale,CHU DE QUÉBEC - UNIVERSITÉ LAVAL,HÔPITAL DU SAINT-SACREMENT,51217529,22,24,11,2,30,3,11.99,4.18,11:59,4:10,00:00:00,2026-01-05T0:45
