_id,RSS,Region,Nom_etablissement,Nom_installation,No_permis_installation,Nombre_de_civieres_fonctionnelles,Nombre_de_civieres_occupees,Nombre_de_patients_sur_civiere_plus_de_24_heures,Nombre_de_patients_sur_civiere_plus_de_48_heures,Nombre_total_de_patients_presents_a_lurgence,Nombre_total_de_patients_en_attente_de_PEC,DMS_sur_civiere,DMS_ambulatoire,DMS_sur_civiere_horaire,DMS_ambulatoire_horaire,Heure_de_l'extraction_(image),Mise_a_jour
1,1,Bas-Saint-Laurent,Total régional,Total régional,,52,51,29,6,183,91,11.83,4.39984615384615,11:49,4:23,13:00:00,2026-06-06T13:45:00
2,1,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,CENTRE HOSPITALIER RÉGIONAL DU GRAND-PORTAGE,51218352,9,5,3,0,26,15,0,0,0:00,0:00,13:00:00,2026-06-06T13:45:00
3,1,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,HÔPITAL DE MATANE,51218980,7,9,4,0,32,9,18.95,3.79,18:57,3:47,13:00:00,2026-06-06T13:45:00
4,1,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,CLSC DE POHÉNÉGAMOOK,51219418,3,0,0,0,3,1,0,0,0:00,0:00,13:00:00,2026-06-06T13:45:00
5,1,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,HÔPITAL NOTRE-DAME-DE-FATIMA,51221141,7,8,5,0,32,21,0,0,0:00,0:00,13:00:00,2026-06-06T13:45:00
6,1,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,HÔPITAL DE NOTRE-DAME-DU-LAC,51221877,5,8,2,1,20,13,7.49,5.39,7:29,5:23,13:00:00,2026-06-06T13:45:00
7,1,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,HÔPITAL D'AMQUI,51226892,6,6,5,2,14,4,0,0,0:00,0:00,13:00:00,2026-06-06T13:45:00
8,1,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,HÔPITAL RÉGIONAL DE RIMOUSKI,51227882,12,15,10,3,46,25,0,0,0:00,0:00,13:00:00,2026-06-06T13:45:00
9,1,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE TROIS-PISTOLES,51236156,3,0,0,0,10,3,9.05,4.23,9:03,4:13,13:00:00,2026-06-06T13:45:00
10,2,Saguenay-Lac-Saint-Jean,Total régional,Total régional,,104,82,13,4,223,106,11.3361607142857,4.47775,11:20,4:28,13:00:00,2026-06-06T13:45:00
11,2,Saguenay-Lac-Saint-Jean,CIUSSS DU SAGUENAY - LAC-SAINT-JEAN,HÔPITAL DE CHICOUTIMI,51218394,41,36,5,0,67,21,11.11,3.35,11:06,3:21,13:00:00,2026-06-06T13:45:00
12,2,Saguenay-Lac-Saint-Jean,CIUSSS DU SAGUENAY - LAC-SAINT-JEAN,HÔPITAL DE DOLBEAU-MISTASSINI,51219384,10,4,2,2,35,22,22.89,4.2,22:53,4:12,13:00:00,2026-06-06T13:45:00
13,2,Saguenay-Lac-Saint-Jean,CIUSSS DU SAGUENAY - LAC-SAINT-JEAN,HÔPITAL D'ALMA,51219400,17,9,1,0,30,15,7.7,4.64,7:42,4:38,13:00:00,2026-06-06T13:45:00
14,2,Saguenay-Lac-Saint-Jean,CIUSSS DU SAGUENAY - LAC-SAINT-JEAN,HÔPITAL DE LA BAIE,51221364,7,10,2,2,34,16,7.22,4.33,7:13,4:19,13:00:00,2026-06-06T13:45:00
15,2,Saguenay-Lac-Saint-Jean,CIUSSS DU SAGUENAY - LAC-SAINT-JEAN,HÔPITAL ET CENTRE DE RÉADAPTATION DE JONQUIÈRE,51224541,16,11,3,0,28,10,12.75,5.83,12:45,5:49,13:00:00,2026-06-06T13:45:00
16,2,Saguenay-Lac-Saint-Jean,CIUSSS DU SAGUENAY - LAC-SAINT-JEAN,HÔPITAL ET CENTRE D'HÉBERGEMENT DE ROBERVAL,51228203,13,12,0,0,29,22,8.02,4.44,8:01,4:26,13:00:00,2026-06-06T13:45:00
17,3,Capitale-Nationale,Total régional,Total régional,,218,224,35,7,392,118,13.2461583577712,3.5782874617737,13:14,3:34,13:00:00,2026-06-06T13:45:00
18,3,Capitale-Nationale,CHU DE QUÉBEC - UNIVERSITÉ LAVAL,HÔPITAL DU SAINT-SACREMENT,51217529,22,20,4,0,49,18,13.8,4.14,13:48,4:08,13:00:00,2026-06-06T13:45:00
19,3,Capitale-Nationale,CHU DE QUÉBEC - UNIVERSITÉ LAVAL,L'HÔTEL-DIEU DE QUÉBEC,51217586,15,18,0,0,21,4,12.56,3.16,12:33,3:09,13:00:00,2026-06-06T13:45:00
