_id,RSS,Region,Nom_etablissement,Nom_installation,No_permis_installation,Nombre_de_civieres_fonctionnelles,Nombre_de_civieres_occupees,Nombre_de_patients_sur_civiere_plus_de_24_heures,Nombre_de_patients_sur_civiere_plus_de_48_heures,Nombre_total_de_patients_presents_a_lurgence,Nombre_total_de_patients_en_attente_de_PEC,DMS_sur_civiere,DMS_ambulatoire,DMS_sur_civiere_horaire,DMS_ambulatoire_horaire,Heure_de_l'extraction_(image),Mise_a_jour
1,01,Bas-Saint-Laurent,Total régional,Total régional,,52,42,2,0,69,17,11.263909090909,3.34188679245283,11:15,3:20,08:00:00,2026-01-16T8:45
2,01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,CENTRE HOSPITALIER RÉGIONAL DU GRAND-PORTAGE,51218352,9,8,0,0,10,0,9.61,3.42,9:36,3:25,08:00:00,2026-01-16T8:45
3,01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,HÔPITAL DE MATANE,51218980,7,4,1,0,9,4,16.26,4.93,16:15,4:55,08:00:00,2026-01-16T8:45
4,01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,CLSC DE POHÉNÉGAMOOK,51219418,3,0,0,0,1,1,6.69,0.89,6:41,0:53,08:00:00,2026-01-16T8:45
5,01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,HÔPITAL NOTRE-DAME-DE-FATIMA,51221141,7,5,0,0,9,3,7.53,4.88,7:31,4:52,08:00:00,2026-01-16T8:45
6,01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,HÔPITAL DE NOTRE-DAME-DU-LAC,51221877,5,4,0,0,7,2,9.53,2.54,9:31,2:32,08:00:00,2026-01-16T8:45
7,01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,HÔPITAL D'AMQUI,51226892,6,5,1,0,9,2,8.84,2.91,8:50,2:54,08:00:00,2026-01-16T8:45
8,01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,HÔPITAL RÉGIONAL DE RIMOUSKI,51227882,12,14,0,0,20,5,12.9,3.51,12:54,3:30,08:00:00,2026-01-16T8:45
9,01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE TROIS-PISTOLES,51236156,3,2,0,0,4,0,9.95,2.42,9:57,2:25,08:00:00,2026-01-16T8:45
10,02,Saguenay-Lac-Saint-Jean,Total régional,Total régional,,104,61,5,0,95,21,10.5971232876712,4.13142105263157,10:35,4:07,08:00:00,2026-01-16T8:45
11,02,Saguenay-Lac-Saint-Jean,CIUSSS DU SAGUENAY - LAC-SAINT-JEAN,HÔPITAL DE CHICOUTIMI,51218394,41,30,1,0,37,2,11.01,3.62,11:00,3:37,08:00:00,2026-01-16T8:45
12,02,Saguenay-Lac-Saint-Jean,CIUSSS DU SAGUENAY - LAC-SAINT-JEAN,HÔPITAL DE DOLBEAU-MISTASSINI,51219384,10,10,3,0,17,2,17.66,4.92,17:39,4:55,08:00:00,2026-01-16T8:45
13,02,Saguenay-Lac-Saint-Jean,CIUSSS DU SAGUENAY - LAC-SAINT-JEAN,HÔPITAL D'ALMA,51219400,17,6,1,0,13,6,7.1,3.13,7:06,3:07,08:00:00,2026-01-16T8:45
14,02,Saguenay-Lac-Saint-Jean,CIUSSS DU SAGUENAY - LAC-SAINT-JEAN,HÔPITAL DE LA BAIE,51221364,7,2,0,0,8,6,10.79,3.73,10:47,3:43,08:00:00,2026-01-16T8:45
15,02,Saguenay-Lac-Saint-Jean,CIUSSS DU SAGUENAY - LAC-SAINT-JEAN,HÔPITAL ET CENTRE DE RÉADAPTATION DE JONQUIÈRE,51224541,16,10,0,0,13,4,11.34,3.81,11:20,3:48,08:00:00,2026-01-16T8:45
16,02,Saguenay-Lac-Saint-Jean,CIUSSS DU SAGUENAY - LAC-SAINT-JEAN,HÔPITAL ET CENTRE D'HÉBERGEMENT DE ROBERVAL,51228203,13,3,0,0,7,1,10.21,5.73,10:12,5:43,08:00:00,2026-01-16T8:45
17,03,Capitale-Nationale,Total régional,Total régional,,218,220,19,5,290,35,15.0445292620865,3.28512779552715,15:02,3:17,08:00:00,2026-01-16T8:45
